=== PROJECT PRICING DEBUG ===
Project,"Verify-03-Double-A"
Status,"STAGING"

=== PRICING MODE ===
Name,"Default (Hybrid)"
Extrusion Markup,300%
Hardware Markup,300%
Glass Markup,300%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"HYBRID"

=== OPENING: Opening 1 ===
Finish Color,"Black (Anodized)"

--- Component: Active Sliding Door (Panel 1354) ---
Dimensions,"41"" W x 84"" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,BOM Qty,BOM Unit,Unit Cost,Finish Cost,Marked Up Cost,Non-Marked Up Cost,Total Cost,Method,Details,Finish Details
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","CutStock","","",2,,,$6.00,$0.00,$48.00,$0.00,$48.00,"master_part_direct","MasterPart direct: $6 × 2",""
"HW-N&B-FAS9152","3/8-16 Locking Nut","Fastener","","",3.99,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Fastener","","",4,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-OWL7181","Thumb Turn","Hardware","","",1,,,$12.00,$0.00,$48.00,$0.00,$48.00,"master_part_hardware","Hardware cost: $12 × 1",""
"DR-ASD-OWL861Q-BLA","Thumb Turn Collar","Hardware","","",1,,,$3.50,$0.00,$14.00,$0.00,$14.00,"master_part_hardware","Hardware cost: $3.5 × 1",""
"DR-ASD-TUB-1424","Hook Bolt Lock Set","Hardware","","",1,,,$8.68,$0.00,$34.72,$0.00,$34.72,"master_part_hardware","Hardware cost: $8.68 × 1",""
"DR-ASD-TUB1408-BLA","Sliding Door Lock Face Plate","Hardware","","",1,,,$5.93,$0.00,$23.72,$0.00,$23.72,"master_part_hardware","Hardware cost: $5.93 × 1",""
"DR-ASD-NUT2641","#10-24 x 3/8 Philips Pan Head","Fastener","","",7.98,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-NUT2310","1/4-20 x 3/4 Flat Head Screw","Fastener","","",3,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-TUB013D","Lock Stile Pile","Hardware","","",1,8,LF,$0.35,$0.00,$9.85,$0.00,$9.85,"master_part_hardware_lf","Hardware (LF): Formula ""height"" = 84"" = 7.00 LF × $0.35181/LF × 1",""
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",4,353,IN,$0.42,$0.00,$6.72,$0.00,$6.72,"bom_formula","Formula: height → 84 = 84.00 × $0.005/IN × 4 qty = $1.68",""
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",4,173,IN,$0.21,$0.00,$3.28,$0.00,$3.28,"bom_formula","Formula: width → 41 = 41.00 × $0.005/IN × 4 qty = $0.82",""
"DR-ASD-TUBP938","Trim Sweep Pile","Hardware","","",2,8,LF,$0.62,$0.00,$16.91,$0.00,$16.91,"master_part_hardware_lf","Hardware (LF): Formula ""width"" = 41"" = 3.42 LF × $0.6186/LF × 2",""
"DR-ASD-BUMBS35","Black Bumper","Hardware","","",9,,,$0.06,$0.00,$2.14,$0.00,$2.14,"master_part_hardware","Hardware cost: $0.0594 × 9",""
"HW-PLT-ALB0105","Albatur Suspension Plate","Hardware","","",2,,,$0.40,$0.00,$3.20,$0.00,$3.20,"master_part_hardware","Hardware cost: $0.4 × 2",""
"HW-SCR-PHIL-10-24X2","Flat Head Phillips Screw","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"door-box","Cardboard Box for Door","Packaging","","",1,,,$10.00,$0.00,$10.00,$0.00,$10.00,"master_part_direct","MasterPart direct: $10 × 1",""
"DR-ASD-ULI0088","1 Foam Double-Sided Tape","Hardware","","",1,,,$20.50,$0.00,$82.00,$0.00,$82.00,"bom_formula","Formula: width / 2 → 41 / 2 = $20.50 (no MasterPart cost found)",""
"AD-LUG-1.94-FG","Door Lug (1.94)","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"AD-LUG-3.20-FG","Door Lug (3.20)","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""

OPTION ITEMS
Category,Option Name,Part Number,Quantity,Unit Price,Total Price,Method,Details,Is Standard,Is Included

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost

Component BOM Total,$276.48
Component Options Total,$0.00
Component Glass Total,$0.00

--- Component: Fixed Panel (Panel 1355) ---
Dimensions,"38.5"" W x 84"" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,BOM Qty,BOM Unit,Unit Cost,Finish Cost,Marked Up Cost,Non-Marked Up Cost,Total Cost,Method,Details,Finish Details
"48450-BLA-102","4"" Web Rail Shallow","Extrusion","102in","38.50in",1,,,$19.55,$0.00,$78.22,$0.00,$78.22,"extrusion_hybrid_percentage","Cut 38.50"" from 102"" stock (37.7% used, <50%) | Piece price: $51.81 | Calc: 37.7% × $51.81 × 1 qty = $19.55","Black (Anodized): No perimeter defined, finish cost = $0.00"
"48351-BLA-99","Dovetail","Extrusion","99in","84.00in",2,,,$17.57,$10.43,$129.69,$5.32,$135.01,"extrusion_hybrid_split","Cut 84.00"" from 99"" stock (84.8% used) | Piece price: $17.57 | Used: 84.8% × $17.57 × 2 = $29.81 (gets markup) | Remaining: 15.2% × $17.57 × 2 = $5.32 (no markup) | Material total: $35.14","Black (Anodized) (full stock): 0.527' perim × 8.25' = 4.35 sq ft × $1.2/sq ft × 2 = $10.43"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","102in","38.50in",2,,,$2.19,$4.19,$21.73,$0.00,$21.73,"extrusion_hybrid_percentage","Cut 38.50"" from 102"" stock (37.7% used, <50%) | Piece price: $5.81 | Calc: 37.7% × $5.81 × 2 qty = $4.39","Black (Anodized) (cut length): 0.544' perim × 3.21' = 1.75 sq ft × $1.2/sq ft × 2 = $4.19"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","102in","84.00in",2,,,$5.81,$11.10,$49.38,$2.05,$51.43,"extrusion_hybrid_split","Cut 84.00"" from 102"" stock (82.4% used) | Piece price: $5.81 | Used: 82.4% × $5.81 × 2 = $9.57 (gets markup) | Remaining: 17.6% × $5.81 × 2 = $2.05 (no markup) | Material total: $11.62","Black (Anodized) (full stock): 0.544' perim × 8.50' = 4.62 sq ft × $1.2/sq ft × 2 = $11.10"
"48447-BLA-99","Glass Stop (Face)","Extrusion","99in","38.50in",2,,,$1.18,$2.35,$11.81,$0.00,$11.81,"extrusion_hybrid_percentage","Cut 38.50"" from 99"" stock (38.9% used, <50%) | Piece price: $3.04 | Calc: 38.9% × $3.04 × 2 qty = $2.37","Black (Anodized) (cut length): 0.305' perim × 3.21' = 0.98 sq ft × $1.2/sq ft × 2 = $2.35"
"48447-BLA-99","Glass Stop (Face)","Extrusion","99in","84.00in",2,,,$3.04,$6.04,$26.69,$0.92,$27.61,"extrusion_hybrid_split","Cut 84.00"" from 99"" stock (84.8% used) | Piece price: $3.04 | Used: 84.8% × $3.04 × 2 = $5.16 (gets markup) | Remaining: 15.2% × $3.04 × 2 = $0.92 (no markup) | Material total: $6.08","Black (Anodized) (full stock): 0.305' perim × 8.25' = 2.52 sq ft × $1.2/sq ft × 2 = $6.04"
"E-12303-BLA-123","Flat Stock Trim","Extrusion","123in","38.50in",2,,,$4.29,$3.35,$37.71,$0.00,$37.71,"extrusion_hybrid_percentage","Cut 38.50"" from 123"" stock (31.3% used, <50%) | Piece price: $13.72 | Calc: 31.3% × $13.72 × 2 qty = $8.59","Black (Anodized) (cut length): 0.435' perim × 3.21' = 1.40 sq ft × $1.2/sq ft × 2 = $3.35"
"48601-BLA-99","Sliding Door Seal","Extrusion","99in","84.00in",1,,,$5.52,$5.19,$23.92,$0.84,$24.76,"extrusion_hybrid_split","Cut 84.00"" from 99"" stock (84.8% used) | Piece price: $5.52 | Used: 84.8% × $5.52 × 1 = $4.68 (gets markup) | Remaining: 15.2% × $5.52 × 1 = $0.84 (no markup) | Material total: $5.52","Black (Anodized) (full stock): 0.524' perim × 8.25' = 4.32 sq ft × $1.2/sq ft × 1 = $5.19"
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","CutStock","","",2,,,$6.00,$0.00,$48.00,$0.00,$48.00,"master_part_direct","MasterPart direct: $6 × 2",""
"DR-ASD-BUMBS35","Black Bumper","Hardware","","",9,,,$0.06,$0.00,$2.14,$0.00,$2.14,"master_part_hardware","Hardware cost: $0.0594 × 9",""
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",4,162,IN,$0.19,$0.00,$3.08,$0.00,$3.08,"bom_formula","Formula: width → 38.5 = 38.50 × $0.005/IN × 4 qty = $0.77",""
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",4,353,IN,$0.42,$0.00,$6.72,$0.00,$6.72,"bom_formula","Formula: height → 84 = 84.00 × $0.005/IN × 4 qty = $1.68",""
"HW-ROLL-BUL105","MR105 Mini V Wheel Assembly","Hardware","","",2,,,$0.66,$0.00,$5.28,$0.00,$5.28,"master_part_hardware","Hardware cost: $0.66 × 2",""
"HW-SCR-MCMA491","Press-Fit Stud","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"HW-N&B-FAS9152","3/8-16 Locking Nut","Fastener","","",4,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"door-box","Cardboard Box for Door","Packaging","","",1,,,$10.00,$0.00,$10.00,$0.00,$10.00,"master_part_direct","MasterPart direct: $10 × 1",""
"RM-PUCK-BRKT-L","Roller Guide Bracket 12g Steel","Hardware","","",1,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Fastener","","",4,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-NUT1512","Hex Head Screw","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"HW-SCR-MCMA491","Press-Fit Stud","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"AD-LUG-3.20-FG","Door Lug (3.20)","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""

OPTION ITEMS
Category,Option Name,Part Number,Quantity,Unit Price,Total Price,Method,Details,Is Standard,Is Included

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost

Component BOM Total,$162.21
Component Options Total,$0.00
Component Glass Total,$0.00

--- Component: Opening / Jamb Parts (Panel null) ---
Dimensions,"77"" W x 84"" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,BOM Qty,BOM Unit,Unit Cost,Finish Cost,Marked Up Cost,Non-Marked Up Cost,Total Cost,Method,Details,Finish Details
"48387-BLA","Header Jamb","Extrusion","","",1,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"48387-BLA","Header Jamb","Extrusion","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""

OPTION ITEMS
Category,Option Name,Part Number,Quantity,Unit Price,Total Price,Method,Details,Is Standard,Is Included

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost

Component BOM Total,$0.00
Component Options Total,$0.00
Component Glass Total,$0.00

--- OPENING COST SUMMARY ---
Category,Base Cost,Markup %,Marked Up Cost
Extrusion,$353.25,300%,$1343.25
Hardware,$65.44,300%,$261.76
Glass,$0.00,300%,$0.00
Packaging,$20.00,0%,$20.00
Other,$0.00,0%,$0.00
Standard Options (no markup),$0.00,0%,$0.00
Hybrid Remaining (no markup),$23.25,0%,$23.25

Opening Total (Base),$438.69
Opening Total (Marked Up),$1625.01


=== OPENING: Opening 2 ===
Finish Color,"Black (Anodized)"

--- Component: Active Sliding Door (Panel 1356) ---
Dimensions,"41"" W x 84"" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,BOM Qty,BOM Unit,Unit Cost,Finish Cost,Marked Up Cost,Non-Marked Up Cost,Total Cost,Method,Details,Finish Details
"48445-BLA-99","2"" Fixed Back Stile","Extrusion","99in","82.75in",1,,,$35.73,$14.41,$133.87,$5.86,$139.73,"extrusion_hybrid_split","Cut 82.75"" from 99"" stock (83.6% used) | Piece price: $35.73 | Used: 83.6% × $35.73 × 1 = $29.86 (gets markup) | Remaining: 16.4% × $35.73 × 1 = $5.86 (no markup) | Material total: $35.73","Black (Anodized) (full stock): 1.456' perim × 8.25' = 12.01 sq ft × $1.2/sq ft × 1 = $14.41"
"48457-BLA-99","2"" Lock Stile","Extrusion","99in","82.75in",1,,,$32.18,$0.00,$107.61,$5.28,$112.89,"extrusion_hybrid_split","Cut 82.75"" from 99"" stock (83.6% used) | Piece price: $32.18 | Used: 83.6% × $32.18 × 1 = $26.90 (gets markup) | Remaining: 16.4% × $32.18 × 1 = $5.28 (no markup) | Material total: $32.18","Black (Anodized): No perimeter defined, finish cost = $0.00"
"48450-BLA-102","4"" Web Rail Shallow","Extrusion","102in","41.00in",1,,,$20.82,$0.00,$83.30,$0.00,$83.30,"extrusion_hybrid_percentage","Cut 41.00"" from 102"" stock (40.2% used, <50%) | Piece price: $51.81 | Calc: 40.2% × $51.81 × 1 qty = $20.82","Black (Anodized): No perimeter defined, finish cost = $0.00"
"48446-BLA-102","4"" Web Rail Deep","Extrusion","102in","41.00in",1,,,$20.40,$7.52,$89.11,$0.00,$89.11,"extrusion_hybrid_percentage","Cut 41.00"" from 102"" stock (40.2% used, <50%) | Piece price: $50.74 | Calc: 40.2% × $50.74 × 1 qty = $20.40","Black (Anodized) (cut length): 1.835' perim × 3.42' = 6.27 sq ft × $1.2/sq ft × 1 = $7.52"
"48347-MF-144","Sliding Door U-Channel","Extrusion","144in","41.00in",1,,,$6.31,$0.00,$25.24,$0.00,$25.24,"extrusion_hybrid_percentage","Cut 41.00"" from 144"" stock (28.5% used, <50%) | Piece price: $22.16 | Calc: 28.5% × $22.16 × 1 qty = $6.31",""
"48447-BLA-99","Glass Stop (Face)","Extrusion","99in","41.00in",2,,,$1.26,$2.50,$12.58,$0.00,$12.58,"extrusion_hybrid_percentage","Cut 41.00"" from 99"" stock (41.4% used, <50%) | Piece price: $3.04 | Calc: 41.4% × $3.04 × 2 qty = $2.52","Black (Anodized) (cut length): 0.305' perim × 3.42' = 1.04 sq ft × $1.2/sq ft × 2 = $2.50"
"48447-BLA-99","Glass Stop (Face)","Extrusion","99in","84.00in",2,,,$3.04,$6.04,$26.69,$0.92,$27.61,"extrusion_hybrid_split","Cut 84.00"" from 99"" stock (84.8% used) | Piece price: $3.04 | Used: 84.8% × $3.04 × 2 = $5.16 (gets markup) | Remaining: 15.2% × $3.04 × 2 = $0.92 (no markup) | Material total: $6.08","Black (Anodized) (full stock): 0.305' perim × 8.25' = 2.52 sq ft × $1.2/sq ft × 2 = $6.04"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","102in","41.00in",2,,,$2.34,$4.46,$23.15,$0.00,$23.15,"extrusion_hybrid_percentage","Cut 41.00"" from 102"" stock (40.2% used, <50%) | Piece price: $5.81 | Calc: 40.2% × $5.81 × 2 qty = $4.67","Black (Anodized) (cut length): 0.544' perim × 3.42' = 1.86 sq ft × $1.2/sq ft × 2 = $4.46"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","102in","84.00in",2,,,$5.81,$11.10,$49.38,$2.05,$51.43,"extrusion_hybrid_split","Cut 84.00"" from 102"" stock (82.4% used) | Piece price: $5.81 | Used: 82.4% × $5.81 × 2 = $9.57 (gets markup) | Remaining: 17.6% × $5.81 × 2 = $2.05 (no markup) | Material total: $11.62","Black (Anodized) (full stock): 0.544' perim × 8.50' = 4.62 sq ft × $1.2/sq ft × 2 = $11.10"
"48420-BLA-242","Whisker Strip","Extrusion","242in","41.00in",2,,,$1.77,$3.42,$17.60,$0.00,$17.60,"extrusion_hybrid_percentage","Cut 41.00"" from 242"" stock (16.9% used, <50%) | Piece price: $10.47 | Calc: 16.9% × $10.47 × 2 qty = $3.55","Black (Anodized) (cut length): 0.417' perim × 3.42' = 1.42 sq ft × $1.2/sq ft × 2 = $3.42"
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","CutStock","","",2,,,$6.00,$0.00,$48.00,$0.00,$48.00,"master_part_direct","MasterPart direct: $6 × 2",""
"HW-N&B-FAS9152","3/8-16 Locking Nut","Fastener","","",3.99,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Fastener","","",4,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-OWL7181","Thumb Turn","Hardware","","",1,,,$12.00,$0.00,$48.00,$0.00,$48.00,"master_part_hardware","Hardware cost: $12 × 1",""
"DR-ASD-OWL861Q-BLA","Thumb Turn Collar","Hardware","","",1,,,$3.50,$0.00,$14.00,$0.00,$14.00,"master_part_hardware","Hardware cost: $3.5 × 1",""
"DR-ASD-TUB-1424","Hook Bolt Lock Set","Hardware","","",1,,,$8.68,$0.00,$34.72,$0.00,$34.72,"master_part_hardware","Hardware cost: $8.68 × 1",""
"DR-ASD-TUB1408-BLA","Sliding Door Lock Face Plate","Hardware","","",1,,,$5.93,$0.00,$23.72,$0.00,$23.72,"master_part_hardware","Hardware cost: $5.93 × 1",""
"DR-ASD-NUT2641","#10-24 x 3/8 Philips Pan Head","Fastener","","",7.98,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-NUT2310","1/4-20 x 3/4 Flat Head Screw","Fastener","","",3,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-TUB013D","Lock Stile Pile","Hardware","","",1,8,LF,$0.35,$0.00,$9.85,$0.00,$9.85,"master_part_hardware_lf","Hardware (LF): Formula ""height"" = 84"" = 7.00 LF × $0.35181/LF × 1",""
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",4,353,IN,$0.42,$0.00,$6.72,$0.00,$6.72,"bom_formula","Formula: height → 84 = 84.00 × $0.005/IN × 4 qty = $1.68",""
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",4,173,IN,$0.21,$0.00,$3.28,$0.00,$3.28,"bom_formula","Formula: width → 41 = 41.00 × $0.005/IN × 4 qty = $0.82",""
"DR-ASD-TUBP938","Trim Sweep Pile","Hardware","","",2,8,LF,$0.62,$0.00,$16.91,$0.00,$16.91,"master_part_hardware_lf","Hardware (LF): Formula ""width"" = 41"" = 3.42 LF × $0.6186/LF × 2",""
"DR-ASD-BUMBS35","Black Bumper","Hardware","","",9,,,$0.06,$0.00,$2.14,$0.00,$2.14,"master_part_hardware","Hardware cost: $0.0594 × 9",""
"HW-PLT-ALB0105","Albatur Suspension Plate","Hardware","","",2,,,$0.40,$0.00,$3.20,$0.00,$3.20,"master_part_hardware","Hardware cost: $0.4 × 2",""
"HW-SCR-PHIL-10-24X2","Flat Head Phillips Screw","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"door-box","Cardboard Box for Door","Packaging","","",1,,,$10.00,$0.00,$10.00,$0.00,$10.00,"master_part_direct","MasterPart direct: $10 × 1",""
"DR-ASD-ULI0088","1 Foam Double-Sided Tape","Hardware","","",1,,,$20.50,$0.00,$82.00,$0.00,$82.00,"bom_formula","Formula: width / 2 → 41 / 2 = $20.50 (no MasterPart cost found)",""
"AD-LUG-1.94-FG","Door Lug (1.94)","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"AD-LUG-3.20-FG","Door Lug (3.20)","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""

OPTION ITEMS
Category,Option Name,Part Number,Quantity,Unit Price,Total Price,Method,Details,Is Standard,Is Included

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost

Component BOM Total,$276.48
Component Options Total,$0.00
Component Glass Total,$0.00

--- Component: Fixed Panel (Panel 1357) ---
Dimensions,"38.5"" W x 84"" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,BOM Qty,BOM Unit,Unit Cost,Finish Cost,Marked Up Cost,Non-Marked Up Cost,Total Cost,Method,Details,Finish Details
"48450-BLA-102","4"" Web Rail Shallow","Extrusion","102in","38.50in",1,,,$19.55,$0.00,$78.22,$0.00,$78.22,"extrusion_hybrid_percentage","Cut 38.50"" from 102"" stock (37.7% used, <50%) | Piece price: $51.81 | Calc: 37.7% × $51.81 × 1 qty = $19.55","Black (Anodized): No perimeter defined, finish cost = $0.00"
"48351-BLA-99","Dovetail","Extrusion","99in","84.00in",2,,,$17.57,$10.43,$129.69,$5.32,$135.01,"extrusion_hybrid_split","Cut 84.00"" from 99"" stock (84.8% used) | Piece price: $17.57 | Used: 84.8% × $17.57 × 2 = $29.81 (gets markup) | Remaining: 15.2% × $17.57 × 2 = $5.32 (no markup) | Material total: $35.14","Black (Anodized) (full stock): 0.527' perim × 8.25' = 4.35 sq ft × $1.2/sq ft × 2 = $10.43"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","102in","38.50in",2,,,$2.19,$4.19,$21.73,$0.00,$21.73,"extrusion_hybrid_percentage","Cut 38.50"" from 102"" stock (37.7% used, <50%) | Piece price: $5.81 | Calc: 37.7% × $5.81 × 2 qty = $4.39","Black (Anodized) (cut length): 0.544' perim × 3.21' = 1.75 sq ft × $1.2/sq ft × 2 = $4.19"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","102in","84.00in",2,,,$5.81,$11.10,$49.38,$2.05,$51.43,"extrusion_hybrid_split","Cut 84.00"" from 102"" stock (82.4% used) | Piece price: $5.81 | Used: 82.4% × $5.81 × 2 = $9.57 (gets markup) | Remaining: 17.6% × $5.81 × 2 = $2.05 (no markup) | Material total: $11.62","Black (Anodized) (full stock): 0.544' perim × 8.50' = 4.62 sq ft × $1.2/sq ft × 2 = $11.10"
